timestamp,route_id,origin_port_id,destination_port_id,vessel_type,freight_rate,currency,unit,source,source_type,data_quality,market_regime
2022-01-01T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,HANDYSIZE,29.98,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,SUPRAMAX,30.13,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,PANAMAX,20.6,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,CAPESIZE,16.29,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,US_01_IN_PARA,US_01,IN_PARA,HANDYSIZE,30.94,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,US_01_IN_PARA,US_01,IN_PARA,SUPRAMAX,29.47,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,US_01_IN_PARA,US_01,IN_PARA,PANAMAX,19.35,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,US_01_IN_PARA,US_01,IN_PARA,CAPESIZE,15.67,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,IDN_01_IN_PARA,IDN_01,IN_PARA,HANDYSIZE,29.54,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,IDN_01_IN_PARA,IDN_01,IN_PARA,SUPRAMAX,28.86,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,IDN_01_IN_PARA,IDN_01,IN_PARA,PANAMAX,22.46,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-01T00:00:00,IDN_01_IN_PARA,IDN_01,IN_PARA,CAPESIZE,14.78,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-02T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,HANDYSIZE,29.55,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-02T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,SUPRAMAX,27.98,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-02T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,PANAMAX,21.02,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-02T00:00:00,AUS_01_IN_PARA,AUS_01,IN_PARA,CAPESIZE,14.18,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
2022-01-02T00:00:00,US_01_IN_PARA,US_01,IN_PARA,HANDYSIZE,30.2,USD,MT,synthetic_generator_v1,SYNTHETIC,VALID,STABLE
